year,depth,tau
1950,0,0.3844839564419329
1950,50,0.12237672285914906
1950,100,0.05094829427149384
1950,150,0.2369776821307077
1950,200,0.4462341690517024
1950,250,0.5726302190752274
1950,300,0.6557638756132287
1950,350,0.6839796996908277
1950,400,0.68468664320412
1960,0,0.3192389768467883
1960,50,0.0067015431567407635
1960,100,-0.11159239025250318
1960,150,0.030295833809315918
1960,200,0.27093656938303773
1960,250,0.4431455284120782
1960,300,0.5382857768558705
1960,350,0.6346516182443965
1960,400,0.6362157686747537
1970,0,0.287459976635232
1970,50,0.0409553975386
1970,100,0.014022656960924217
1970,150,0.16158285295017466
1970,200,0.3843808910069981
1970,250,0.5262145361704039
1970,300,0.5740282443746552
1970,350,0.6593805845126194
1970,400,0.6295608099283426
1980,0,0.13662536239157771
1980,50,-0.3615216629952115
1980,100,-0.5335060312063771
1980,150,-0.40171774547624733
1980,200,-0.10794784593945554
1980,250,0.18499690422412424
1980,300,0.33436698540186655
1980,350,0.4881454033209308
1980,400,0.454724826731772
1990,0,-0.02372691796650778
1990,50,-0.29504889637923615
1990,100,-0.37063519290995217
1990,150,-0.31042078040058396
1990,200,-0.0540425295489629
1990,250,0.18092878550867048
1990,300,0.3620106587632475
1990,350,0.49210580729255643
1990,400,0.44851780722050744
2000,0,-0.12098448521850991
2000,50,-0.44447501690659375
2000,100,-0.4746488078155206
2000,150,-0.2905469262841417
2000,200,-0.017373101046051703
2000,250,0.2202451744682741
2000,300,0.4132107015904624
2000,350,0.5217807257633968
2000,400,0.4784534626608584
2010,0,-0.04084131073165506
2010,50,-0.44815713795056894
2010,100,-0.5192761345902657
2010,150,-0.32837309960239974
2010,200,-0.050888632688581036
2010,250,0.2030791743459005
2010,300,0.4050490893799249
2010,350,0.5048400230562817
2010,400,0.434024000252681
